# rig_trace started 2026-05-12T15:20:26.945
[rig_trace] start 2026-05-12T15:20:26.945  cc=COM8 xpb=- udp=8888
[+      1.6 ms] [NET] <listening on :8888>
[+      2.6 ms] [CC ] <opened COM8 @ 9600>
[+    205.1 ms] [CC ] XPB stale (mask expired)
[+    205.2 ms] [CC ] STATE -> E-STOP
[+    205.2 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    205.2 ms] [CC ] STATE -> E-STOP
[+    205.2 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    205.2 ms] [CC ] STATE -> E-STOP
[+    205.2 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    205.2 ms] [CC ] STATE -> E-STOP
[+    205.2 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    205.2 ms] [CC ] STATE -> E-STOP
[+    412.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    412.6 ms] [CC ] STATE -> E-STOP
[+    412.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    412.6 ms] [CC ] STATE -> E-STOP
[+    412.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    412.6 ms] [CC ] STATE -> E-STOP
[+    412.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    412.6 ms] [CC ] STATE -> E-STOP
[+    412.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    412.7 ms] [CC ] STATE -> E-STOP
[+    613.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    614.0 ms] [CC ] STATE -> E-STOP
[+    614.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    614.0 ms] [CC ] STATE -> E-STOP
[+    614.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    614.0 ms] [CC ] STATE -> E-STOP
[+    614.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    614.0 ms] [CC ] STATE -> E-STOP
[+    614.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    614.0 ms] [CC ] STATE -> E-STOP
[+    814.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    814.6 ms] [CC ] STATE -> E-STOP
[+    814.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    814.6 ms] [CC ] STATE -> E-STOP
[+    814.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    814.6 ms] [CC ] STATE -> E-STOP
[+    814.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    814.6 ms] [CC ] STATE -> E-STOP
[+    814.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+    814.7 ms] [CC ] STATE -> E-STOP
[+   1018.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1018.5 ms] [CC ] STATE -> E-STOP
[+   1018.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1018.5 ms] [CC ] STATE -> E-STOP
[+   1018.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1018.5 ms] [CC ] STATE -> E-STOP
[+   1018.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1018.5 ms] [CC ] STATE -> E-STOP
[+   1018.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1018.5 ms] [CC ] STATE -> E-STOP
[+   1220.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1220.7 ms] [CC ] STATE -> E-STOP
[+   1220.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1220.7 ms] [CC ] STATE -> E-STOP
[+   1220.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1220.7 ms] [CC ] STATE -> E-STOP
[+   1220.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1220.7 ms] [CC ] STATE -> E-STOP
[+   1220.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1220.7 ms] [CC ] STATE -> E-STOP
[+   1422.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1423.0 ms] [CC ] STATE -> E-STOP
[+   1423.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1423.0 ms] [CC ] STATE -> E-STOP
[+   1423.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1423.0 ms] [CC ] STATE -> E-STOP
[+   1423.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1423.0 ms] [CC ] STATE -> E-STOP
[+   1423.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1423.0 ms] [CC ] STATE -> E-STOP
[+   1625.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1625.0 ms] [CC ] STATE -> E-STOP
[+   1625.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1625.1 ms] [CC ] STATE -> E-STOP
[+   1625.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1625.1 ms] [CC ] STATE -> E-STOP
[+   1625.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1625.1 ms] [CC ] STATE -> E-STOP
[+   1625.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1625.1 ms] [CC ] STATE -> E-STOP
[+   1827.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1827.7 ms] [CC ] STATE -> E-STOP
[+   1827.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1827.7 ms] [CC ] STATE -> E-STOP
[+   1827.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1827.7 ms] [CC ] STATE -> E-STOP
[+   1827.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   1827.7 ms] [CC ] STATE -> E-STOP
